17,Yami,Increase the ATK and DEF of all Fiend and Spellcaster-Type monsters by 200 points. Decrease the ATK and DEF of all Fairy-Type monsters by 200 points.,LOB-051,NULL,NULL,NULL,NULL,8,NULL
18,Dark Hole,Destroy all monsters on the field.,LOB-052,NULL,NULL,NULL,NULL,5,NULL
19,Raigeki,Destroy all monsters on your opponent's side of the field.,LOB-053,NULL,NULL,NULL,NULL,5,NULL
20,Red Medicine,Increase your Life Points by 500 points.,LOB-054,NULL,NULL,NULL,NULL,5,NULL
21,Sparks,Inflict 200 points of damage to your opponent's Life Points.,LOB-055,NULL,NULL,NULL,NULL,5,NULL
22,Hinotama,Inflict 500 points of damage to your opponent's Life Points.,LOB-056,NULL,NULL,NULL,NULL,5,NULL
23,Fissure,"Destroy 1 face-up monster with the lowest ATK on your opponent's side of the field. (If it's a tie, you get to choose.)",LOB-057,NULL,NULL,NULL,NULL,5,NULL
24,Trap Hole,"When your opponent Normal Summons or Flip Summons a monster with an ATK of 1000 points or more, destroy the monster.",LOB-058,NULL,NULL,NULL,NULL,11,NULL
25,Polymerization,"Send Fusion Material Monsters that are listed by a Fusion Monster Card from your hand or your side of the field to the Graveyard, and Special Summon the Fusion Monster from your Fusion Deck.",LOB-059,NULL,NULL,NULL,NULL,5,NULL
26,Remove Trap,Select 1 face-up Trap Card on the field and destroy it.,LOB-060,NULL,NULL,NULL,NULL,5,NULL
27,Two-Pronged Attack,Select and destroy 2 of your monsters and 1 of your opponent's monsters.,LOB-061,NULL,NULL,NULL,NULL,11,NULL
28,Gravedigger Ghoul,Select up to 2 Monster Card(s) from your opponent's Graveyard. Remove the selected card(s) from play.,LOB-065,NULL,NULL,NULL,NULL,5,NULL
29,Karbonala Warrior,"""M-Warrior #1"" + ""M-Warrior #2""",LOB-067,4,1500,1200,18,3,NULL
30,Reaper of the Cards,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",LOB-071,5,1380,1930,7,2,NULL
31,Dragoness the Wicked Knight,"""Armaill"" + ""One-Eyed Shield Dragon""",LOB-086,3,1200,900,18,3,NULL
32,Dark Energy,Increase the ATK and DEF of a Fiend-Type monster equipped with this card by 300 points.,LOB-088,NULL,NULL,NULL,NULL,7,NULL
33,Laser Cannon Armor,Increase the ATK and DEF of an Insect-Type monster equipped with this card by 300 points.,LOB-089,NULL,NULL,NULL,NULL,7,NULL
34,Vile Germs,Increase the ATK and DEF of a Plant-Type monster equipped with this card by 300 points.,LOB-090,NULL,NULL,NULL,NULL,7,NULL
35,Silver Bow and Arrow,Increase the ATK and DEF of a Fairy-Type monster equipped with this card by 300 points.,LOB-091,NULL,NULL,NULL,NULL,7,NULL
36,Dragon Treasure,Increase the ATK and DEF of a Dragon-Type monster equipped with this card by 300 points.,LOB-092,NULL,NULL,NULL,NULL,7,NULL
37,Electro-Whip,Increase the ATK and DEF of a Thunder-Type monster equipped with this card by 300 points.,LOB-093,NULL,NULL,NULL,NULL,7,NULL
38,Mystical Moon,Increase the ATK and DEF of a Beast-Warrior-Type monster equipped with this card by 300 points.,LOB-094,NULL,NULL,NULL,NULL,7,NULL
39,Stop Defense,Select 1 Defense Position monster on your opponent's side of the field and change it to Attack Position.,LOB-095,NULL,NULL,NULL,NULL,5,NULL
40,Machine Conversion Factory,Increase the ATK and DEF of a Machine-Type monster equipped with this card by 300 points.,LOB-096,NULL,NULL,NULL,NULL,7,NULL
41,Raise Body Heat,Increase the ATK and DEF of a Dinosaur-Type monster equipped with this card by 300 points.,LOB-097,NULL,NULL,NULL,NULL,7,NULL
42,Follow Wind,Increase the ATK and DEF of a Winged Beast-Type monster equipped with this card by 300 points.,LOB-098,NULL,NULL,NULL,NULL,7,NULL
43,Goblin's Secret Remedy,Increase your Life Points by 600 points.,LOB-099,NULL,NULL,NULL,NULL,5,NULL
44,Final Flame,Inflict 600 points of damage to your opponent's Life Points.,LOB-100,NULL,NULL,NULL,NULL,5,NULL
45,Swords of Revealing Light,"Flip all face-down monsters on your opponent's side of the field face-up. This card remains face-up on the field for 3 of your opponent's turns. As long as this card remains face-up on the field, your opponent cannot declare an attack.",LOB-101,NULL,NULL,NULL,NULL,5,NULL
46,Metal Dragon,"""Steel Ogre Grotto #1"" + ""Lesser Dragon""",LOB-102,6,1850,1700,10,3,NULL
47,Armed Ninja,"FLIP: Select 1 Spell Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Spell Card, it is destroyed. If it is a Trap Card, return it to its original position.",LOB-106,1,300,300,18,2,NULL
48,Flower Wolf,"""Silver Fang"" + ""Darkworld Thorns""",LOB-107,5,1800,1400,2,3,NULL
49,Man-Eater Bug,FLIP: Destroy 1 monster on the field.,LOB-108,2,450,600,9,2,NULL
50,Hane-Hane,FLIP: Select 1 monster on the field and return it to its owner's hand.,LOB-110,2,450,500,2,2,NULL
51,Monster Reborn,Select 1 monster from either you or your opponent's Graveyard. Special Summon the selected monster on your side of the field.,LOB-118,NULL,NULL,NULL,NULL,5,NULL
52,Pot of Greed,Draw 2 cards from your Deck.,LOB-119,NULL,NULL,NULL,NULL,5,NULL
53,Exodia the Forbidden One,"When you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",LOB-124,3,1000,1000,16,2,NULL
54,Gaia the Dragon Champion,"""Gaia The Fierce Knight"" + ""Curse of Dragon""",LOB-125,7,2600,2100,5,3,NULL
55,Gate Guardian,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Sanga of the Thunder"", ""Kazejin"" and ""Suijin"".",MRD-000,11,3750,3400,18,2,NULL
56,Larvae Moth,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by offering ""Petit Moth"" as a Tribute on the 2nd of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".",MRD-007,2,500,400,9,2,NULL
57,Harpie Lady Sisters,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by the effect of ""Elegant Egotist"".",MRD-009,6,1950,2100,19,2,NULL
58,Cocoon of Evolution,"You can equip this card from your hand as an Equip Spell Card to a face-up ""Petit Moth"" on the field. If equipped, the ATK and DEF of ""Cocoon of Evolution"" is applied to ""Petit Moth"".",MRD-011,3,0,2000,9,2,NULL
59,Mask of Darkness,FLIP: Select 1 Trap Card from your Graveyard. Add the selected card to your hand.,MRD-014,2,900,400,7,2,NULL
60,White Magical Hat,"When this card inflicts Battle Damage to your opponent's Life Points, your opponent discards 1 card randomly from his/her hand.",MRD-016,3,1000,700,16,2,NULL
61,Big Eye,"FLIP: See the 5 cards from the top of your Deck, arrange them in any order desired, and replace them on top of the Deck",MRD-017,4,1200,1000,7,2,NULL
62,B. Skull Dragon,"""Summoned Skull"" + ""Red-Eyes B. Dragon""",MRD-018,9,3200,2500,5,3,NULL
63,Masked Sorcerer,"When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck.",MRD-019,4,900,1400,16,2,NULL
64,Roaring Ocean Snake,"""Mystic Lamp"" + ""Hyosube""",MRD-020,6,2100,1800,1,3,NULL
65,Elegant Egotist,"You can only activate this card when there are 1 or more ""Harpie Lady"" on the field. Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your hand or your Deck.",MRD-024,NULL,NULL,NULL,NULL,5,NULL
66,Sanga of the Thunder,You can only activate this card's effect during your opponent's damage calculation. Make the ATK of a monster attacking this card 0 during damage calculation. This effect can only be used once as long as this card remains face-up on the field.,MRD-025,7,2600,2200,17,2,NULL
67,Kazejin,You can only activate this card's effect during your opponent's damage calculation. Make the ATK of a monster attacking this card 0 during damage calculation. This effect can only be used once as long as this card remains face-up on the field.,MRD-026,7,2400,2200,16,2,NULL
68,Suijin,You can only activate this card's effect during your opponent's damage calculation. Make the ATK of a monster attacking this card 0 during damage calculation. This effect can only be used once as long as this card remains face-up on the field.,MRD-027,7,2500,2400,1,2,NULL
69,Mystic Lamp,This monster can attack your opponent's Life Points directly,MRD-028,1,400,300,16,2,NULL
70,Steel Scorpion,"A non Machine-Type Monster attacking ""Steel Scorpion"" will be destroyed at the End Phase of your opponent's 2nd turn after the attack.",MRD-029,1,250,300,10,2,NULL
71,Leghul,This monster can attack your opponent's Life Points directly.,MRD-031,1,300,350,9,2,NULL
72,Ooguchi,This monster can attack your opponent's Life Points directly.,MRD-032,1,300,250,1,2,NULL
73,Blast Juggler,You can only activate this effect during your Standby Phase. Offer this face-up card as a Tribute to select and destroy 2 face-up monsters with an ATK 1000 or less.,MRD-034,3,800,900,10,2,NULL
74,Jinzo #7,This monster can attack your opponent's Life Points directly.,MRD-035,2,500,400,10,2,NULL
75,Magician of Faith,FLIP: Select 1 Spell Card in your Graveyard. Add it to your hand.,MRD-036,1,300,400,16,2,NULL
76,Deepsea Shark,"""Bottom Dweller"" + ""Tongyo""",MRD-038,5,1900,1600,8,3,NULL
77,Kaminari Attack,"""Ocubeam"" + ""Mega Thunderball""",MRD-041,5,1900,1400,17,3,NULL
78,Rainbow Flower,This monster can attack your opponent's Life Points directly.,MRD-042,2,400,500,11,2,NULL
79,Empress Judge,"""Queen's Double"" + ""Hibikime""",MRD-046,6,2100,1700,18,3,NULL
80,Electric Lizard,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.",MRD-048,3,850,800,17,2,NULL
81,Queen's Double,This monster can attack your opponent's Life Points directly.,MRD-051,1,350,300,18,2,NULL
82,Fake Trap,"You can only activate this card when your opponent uses an effect of a Spell, Trap, or Effect Monster to destroy Trap Card(s) on your side of the field. Destroy this card as a substitute of those Trap Card(s) and the other Trap Card(s) are not destroyed. If a Set card(s) would have been destroyed, pick up and see the Set card(s).",MRD-056,NULL,NULL,NULL,NULL,11,NULL
83,Tribute To The Doomed,Discard 1 card from your hand. Select 1 monster on the field and destroy it.,MRD-057,NULL,NULL,NULL,NULL,5,NULL
84,Soul Release,Select up to 5 cards from either your or your opponent's Graveyard(s) and remove them from play.,MRD-058,NULL,NULL,NULL,NULL,5,NULL
85,The Cheerful Coffin,Discard up to 3 Monster Cards from your hand to the Graveyard.,MRD-059,NULL,NULL,NULL,NULL,5,NULL
86,Change of Heart,Select 1 monster on your opponent's side of the field. Take control of the selected monster until the End Phase of this turn.,MRD-060,NULL,NULL,NULL,NULL,5,NULL
87,Swamp Battleguard,"Increase the ATK of this monster by 500 points for every face-up ""Lava Battleguard"" on your side of the field.",MRD-063,5,1800,1500,18,2,NULL
88,Time Wizard,"Toss a coin and call it. If you call it right, destroy all monsters on your opponent's side of the field. If you call it wrong, destroy all monsters on your side of the field, and you lose Life Points equal to half the total ATK of the destroyed monsters. You can only use this effect once per turn, during your Main Phase.",MRD-065,2,500,400,16,2,NULL
89,Dragon Piper,"FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position.",MRD-067,3,200,1800,12,2,NULL
90,Sangan,"When this card is sent from the field to the Graveyard, select 1 monster with an ATK of 1500 or less from your Deck, show it to your opponent, and add it to your hand. Then shuffle your Deck.",MRD-069,3,1000,600,7,2,NULL
91,Great Moth,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Petit Moth"" on the 4th of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".",MRD-070,8,2600,2500,9,2,NULL
92,Kuriboh,Discard this card. Make the Battle Damage inflicted to your Life Points by 1 of your opponent's monsters 0. You can only use this effect during your opponent's Battle Phase.,MRD-071,1,300,200,7,2,NULL
93,Castle of Dark Illusions,"FLIP: Increase the ATK and DEF of all Zombie-Type monsters by 200 points. As long as this card remains face-up on the field, the ATK and DEF of Zombie-Type monsters continues to increase by 200 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.",MRD-073,4,920,1930,7,2,NULL
94,Catapult Turtle,Tribute 1 monster on your side of the field. Inflict damage equal to half of the Tributed monster's ATK to your opponent's Life Points.,MRD-075,5,1000,2000,1,2,NULL
95,Rabid Horseman,"""Battle Ox"" + ""Mystic Horseman""",MRD-077,6,2000,1700,3,3,NULL
96,Crass Clown,"When this card is changed from Defense Position to Attack Position, return 1 monster on your opponent's side of the field to the owner's hand.",MRD-078,4,1350,1400,7,2,NULL
97,Pumpking the King of Ghosts,"If ""Castle of Dark Illusions"" is face-up on the field, increase the ATK and DEF of this card by 100 points. As long as this ""Castle of Dark Illusions"" remains face-up on the field, the ATK and DEF of this card continues to increase by 100 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.",MRD-079,6,1800,2000,20,2,NULL
98,Dream Clown,"When this card is changed from Attack Position to Defense Position, destroy 1 monster on your opponent's side of the field.",MRD-080,3,1200,900,18,2,NULL
99,Tainted Wisdom,"When this card is changed from Attack Position to Defense Position, shuffle your own Deck.",MRD-081,3,1250,800,7,2,NULL
100,The Little Swordsman of Aile,Tribute 1 monster on your side of the field to increase this monster's ATK by 700 points until the end of this turn.,MRD-085,3,800,1300,18,2,NULL
101,Princess of Tsurugi,FLIP: Inflict 500 points of damage to your opponent's Life Points for each Spell and Trap Card on your opponent's side of the field.,MRD-086,3,900,700,18,2,NULL
102,Tremendous Fire,Inflict 1000 points of damage to your opponent's Life Points and 500 points of damage to your Life Points.,MRD-088,NULL,NULL,NULL,NULL,5,NULL
103,Jirai Gumo,"When you declare an attack with this card, toss a coin and call it. If you call it right, attack normally. If you call it wrong, lose half your Life Points before attacking.",MRD-089,4,2200,100,9,2,NULL
104,Shadow Ghoul,Increase the ATK of this monster by 100 points for each monster in your Graveyard.,MRD-090,5,1600,1300,20,2,NULL
105,Labyrinth Tank,"""Giga-Tech Wolf"" + ""Cannon Soldier""",MRD-091,7,2400,2400,10,3,NULL
106,Bickuribox,"""Crass Clown"" + ""Dream Clown""",MRD-093,7,2300,2000,7,3,NULL
107,Giltia the D. Knight,"""Guardian of the Labyrinth"" + ""Protector of the Throne""",MRD-094,5,1850,1500,18,3,NULL
108,Thunder Dragon,"During your Main Phase, by discarding this card, add up to 2 ""Thunder Dragons"" from your Deck to your hand",MRD-097,5,1600,1500,17,2,NULL
109,The Immortal of Thunder,"FLIP: Increase your Life Points by 3000 points. When this card is sent from the field to the Graveyard, you lose 5000 Life Points.",MRD-099,4,1500,1300,17,2,NULL
110,Punished Eagle,"""Blue-Winged Crown"" + ""Niwatori""",MRD-100,6,2100,1800,19,3,NULL
111,Insect Soldiers of the Sky,The ATK of this card increases by 1000 points whenever it attacks a WIND monster.,MRD-101,3,1000,800,9,2,NULL
112,Hoshiningen,"As long as this card remains face-up on the field, increase the ATK of all LIGHT monsters by 500 points and decrease the ATK of all DARK monsters by 400 points.",MRD-102,2,500,700,6,2,NULL
113,Musician King,"""Witch of the Black Forest"" + ""Lady of Faith""",MRD-103,5,1750,1500,16,3,NULL
114,Yado Karu,"When this card is changed from Attack Position to Defense Position, you can place any number of cards from your hand at the bottom of your Deck in any order you desire.",MRD-104,4,900,1700,1,2,NULL
115,Cyber Saurus,"""Blast Juggler"" + ""Two-Headed King Rex""",MRD-105,5,1800,1400,10,3,NULL
116,Cannon Soldier,"By Tributing 1 monster, inflict 500 damage to your opponent.",MRD-106,4,1400,1300,10,2,NULL
117,Muka Muka,"As long as this card remains face-up on the field, increase the ATK and DEF of this card by 300 points for every card in the controller's hand.",MRD-107,2,600,300,14,2,NULL
118,The Bistro Butcher,"When this card inflicts Battle Damage to your opponent's Life Points, your opponent draws 2 cards from their Deck.",MRD-108,4,1800,1000,7,2,NULL
119,Star Boy,"As long as this card remains face-up on the field, increase the ATK of all WATER monsters by 500 points and decrease the ATK of all FIRE monsters by 400 points.",MRD-109,2,550,500,1,2,NULL
120,Milus Radiant,"As long as this card remains face-up on the field, increase the ATK of all EARTH monsters by 500 points and decrease the ATK of all WIND monsters by 400 points.",MRD-110,1,300,250,2,2,NULL
121,Dark Elf,This card requires a cost of 1000 of your own Life Points to attack.,MRD-113,4,2000,800,16,2,NULL
122,Mushroom Man #2,A player controlling this monster loses 300 Life Points during each of his/her Standby Phases when this card is face-up on the field. Control of this card is shifted to your opponent by paying 500 Life Points at your own End Phase.,MRD-114,3,1250,800,18,2,NULL
123,Lava Battleguard,"Increase the ATK of this card by 500 points for each face-up ""Swamp Battleguard"" on your side of the field.",MRD-115,NULL,1550,1800,18,2,NULL
124,Witch of the Black Forest,"When this card is sent from the field to the Graveyard, select 1 monster with a DEF of 1500 or less from your Deck, show it to your opponent, and add it to your hand. Then shuffle your Deck.",MRD-116,4,1100,1200,16,2,NULL
125,Little Chimera,"As long as this card remains face-up on the field, increase the ATK of all FIRE monsters by 500 points and decrease the ATK of all WATER monsters by 400 points.",MRD-117,2,600,550,2,2,NULL
126,Bladefly,"As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 points and decrease the ATK of all EARTH monsters by 400 points.",MRD-118,2,600,700,9,2,NULL
127,Twin-Headed Thunder Dragon,"""Thunder Dragon"" + ""Thunder Dragon""",MRD-120,7,2800,2100,5,3,NULL
128,Witch's Apprentice,"As long as this card remains face-up on the field, increase the ATK of all DARK monsters by 500 points and decrease the ATK of all LIGHT monsters by 400 points.",MRD-121,2,550,500,16,2,NULL
129,Skull Knight,"""Tainted Wisdom"" + ""Ancient Brain""",MRD-123,7,2650,2250,16,3,NULL
130,Barrel Dragon,"Toss a coin 3 times. If 2 out of 3 results are Heads, destroy 1 monster on your opponent's side of the field. You can only use this effect once per turn, during your Main Phase.",MRD-126,7,2600,2200,10,2,NULL
131,Solemn Judgment,"Pay half your Life Points. Negate the activation of a Spell / Trap Card / Normal Summon / Flip Summon / Special Summon and destroy the Spell Card, Trap Card, or Summoned monster.",MRD-127,NULL,NULL,NULL,NULL,13,NULL
132,Magic Jammer,Discard 1 card from your hand. Negate the activation of a Spell Card and destroy it.,MRD-128,NULL,NULL,NULL,NULL,13,NULL
133,Seven Tools of the Bandit,Pay 1000 of your Life Points. Negate the activation of a Trap Card and destroy it.,MRD-129,NULL,NULL,NULL,NULL,13,NULL
134,Horn of Heaven,Tribute 1 monster on your side of the field. Negate the Normal Summon / Flip Summon / Special Summon of a monster and destroy it.,MRD-130,NULL,NULL,NULL,NULL,13,NULL
135,Shield & Sword,Switch the original ATK and DEF of all face-up monsters on the field until the end of the End Phase. Any additions and subtractions to ATK and DEF due to card effects are applied to the new ATK and DEF. Monsters Summoned after this card's activation are excluded.,MRD-131,NULL,NULL,NULL,NULL,5,NULL
136,Sword of Deep-Seated,"Increase the ATK and DEF of a monster equipped with this card by 500 points. When this card is sent to the Graveyard, place it on top of your Deck.",MRD-132,NULL,NULL,NULL,NULL,7,NULL
137,Block Attack,Select 1 face-up Attack Position monster on your opponent's side of the field and change it to Defense Position.,MRD-133,NULL,NULL,NULL,NULL,5,NULL
138,The Unhappy Maiden,"When this card is sent to the Graveyard as a result of battle, the Battle Phase for that turn ends immediately.",MRD-134,1,0,100,16,2,NULL
139,Robbin' Goblin,"Each time 1 monster on your side of the field inflicts Battle Damage to your opponent's Life Points, your opponent discards 1 random card from their hand.",MRD-135,NULL,NULL,NULL,NULL,12,NULL
140,Germ Infection,Decrease the ATK of a non Machine-Type monster equipped with this card by 300 points during each of its controller's Standby Phases.,MRD-136,NULL,NULL,NULL,NULL,7,NULL
141,Paralyzing Potion,A non Machine-Type monster equipped with this card cannot attack.,MRD-137,NULL,NULL,NULL,NULL,7,NULL
142,Mirror Force,You can only activate this card when your opponent's monster declares an attack. Destroy all Attack Position monsters on your opponent's side of the field.,MRD-138,NULL,NULL,NULL,NULL,11,NULL
143,Ring of Magnetism,"You can only equip this card to a monster on your side of the field. Decrease the ATK and DEF of a monster equipped with this card by 500 points. In addition, all the monsters on your opponent's side of the field can only attack the monster equipped with this card, if they attack.",MRD-139,NULL,NULL,NULL,NULL,7,NULL
144,Share the Pain,Tribute 1 monster on your side of the field. Your opponent must Tribute 1 monster on their side of the field.,MRD-140,NULL,NULL,NULL,NULL,5,NULL
145,Stim-Pack,Increase the ATK of a monster equipped with this card by 700 points. The monster's ATK is then decreased by 200 points during each of its controller's Standby Phases.,MRD-141,NULL,NULL,NULL,NULL,7,NULL
146,Heavy Storm,Destroy all Spell and Trap Cards on the field.,MRD-142,NULL,NULL,NULL,NULL,5,NULL
147,Thousand Dragon,"""Time Wizard"" + ""Baby Dragon""",MRD-143,7,2400,2000,5,3,NULL
148,Blue Eyes Toon Dragon,"This card cannot be summoned unless ""Toon World"" is on the field. This card cannot attack in the same turn that it is summoned. Pay 500 Life Points each time this monster attacks. When ""Toon World"" is destroyed, this card is also destroyed. If your opponent doesn't control a Toon Monster on the field, this card may inflict Direct Damge to your opponent's Life Points. If a Toon monster is on your opponent's side of the field, your attacks must target the Toon monster.",MRL-000,8,3000,2500,5,2,NULL
149,Penguin Knight,"When this card is sent directly from your Deck to the Graveyard by an effect of a card controlled by your opponent, unite your Graveyard cards and your own Deck, shuffle them and form a new Deck.",MRL-001,3,900,800,1,2,NULL
150,Axe of despair,"Increase the ATK of a monster equipped with this card by 1000 points. When this card is sent from the field to the Graveyard, if you Tribute 1 monster on your side of the field, this card returns to the top of your Deck.",MRL-002,NULL,NULL,NULL,NULL,7,NULL
151,Black Pendant,"Increase the ATK of a monster equipped with this card by 500 points. When this card is sent from the field to the Graveyard, inflict 500 points of damage to your opponent's Life Points.",MRL-003,NULL,NULL,NULL,NULL,7,NULL
152,Horn of Light,"Increase the DEF of a monster equipped with this card by 800 points. When this card is sent from the field to the Graveyard, if you pay 500 Life Points, this card returns to the top of your Deck.",MRL-004,NULL,NULL,NULL,NULL,7,NULL
153,Malevolent Nuzzler,"Increase the ATK of a monster equipped with this card by 700 points. When this card is sent from the field to the Graveyard, if you pay 500 Life Points, this card returns to the top of your Deck.",MRL-005,NULL,NULL,NULL,NULL,7,NULL
154,Spellbinding Circle,"Select 1 monster. As long as this card remains face-up on the field, the selected monster cannot attack or change its battle position. When the selected monster is destroyed, this card is also destroyed.",MRL-006,NULL,NULL,NULL,NULL,12,NULL
155,Electric Snake,"When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.",MRL-008,3,800,900,17,2,NULL
156,Ameba,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.",MRL-010,1,300,350,1,2,NULL
157,Maha Vailo,Increase the ATK of this card by 500 points for each Equip Card equipped to this card.,MRL-012,4,1550,1400,16,2,NULL
158,Minar,"When this card is discarded directly from your hand to the Graveyard by an effect of a card controlled by your opponent, inflict 1000 points of damage to your opponent's Life Points",MRL-015,3,850,750,9,2,NULL
159,Griggle,"When the control of this face-up card on the field shifts to your opponent, increase your Life Points by 3000 points. This effect can only be used once as long as this card remains face-up on the field.",MRL-016,1,350,300,11,2,NULL
160,Weather Report,"FLIP: Destroy all of your opponent's face-up ""Swords of Revealing Light"" cards on the field. If ""Swords of Revealing Light"" is destroyed, you can perform your Battle Phase twice this turn (or your next turn, if activated during your opponent's turn).",MRL-020,4,950,1500,1,2,NULL
161,Hiro's Shadow Scout,"FLIP: Your opponent draws 3 cards. Both players look at the cards . If there are any Spell Cards among them, discard all those Spell Card(s) to the Graveyard.",MRL-024,2,650,500,7,2,NULL
162,Invader of the Throne,FLIP: Select 1 monster on your opponent's side of the field and switch control of it with this card. This effect cannot be activated during the Battle Phase,MRL-026,4,1350,1700,18,2,NULL
163,Relinquished,"Select 1 monster on your opponent's side of the field and equip it to this card (this effect can only be used once per turn and you can only equip 1 monster at a time to this card). The ATK and DEF of this card become the same amounts as the monster equipped to this card. If this card is destroyed as a result of battle, the equipped monster is destroyed instead, and any battle damage you received from the battle is also inflicted to your opponent's Life Points.",MRL-029,1,0,0,16,4,NULL
164,Gravekeeper's Servant,"Unless your opponent sends 1 card from the top of his/her Deck to the Graveyard, he/she cannot declare an attack.",MRL-031,NULL,NULL,NULL,NULL,6,NULL
165,Curse of Fiend,"Change the battle positions of all Attack Position monsters on the field to Defense Position and vice-versa. These positions cannot be changed during the turn this card is activated except by the effect of a Spell, Trap or Effect Monster Card. You can only activate this card during your Standby Phase.",MRL-032,NULL,NULL,NULL,NULL,5,NULL
166,Upstart Goblin,Draw 1 card from your Deck. Increase your opponent's Life Points by 1000 Life Points.,MRL-033,NULL,NULL,NULL,NULL,5,NULL
167,Toll,Each player must pay 500 Life Points to declare an attack.,MRL-034,NULL,NULL,NULL,NULL,6,NULL
168,Final Destiny,Discard 5 cards from your hand. Destroy all cards on the field.,MRL-035,NULL,NULL,NULL,NULL,5,NULL
169,Snatch Steal,Take control of a monster on your opponent's side of the field that is equipped with this card. Increase your opponent's Life Points by 1000 points during each of their Standby Phases.,MRL-036,NULL,NULL,NULL,NULL,7,NULL
170,Chorus of Sanctuary,Increase the DEF of all Defense Position monsters by 500 points.,MRL-037,NULL,NULL,NULL,NULL,8,NULL
171,Confiscation,"Pay 1000 Life Points. Look at your opponent's hand, select 1 card among them and discard it to the Graveyard.",MRL-038,NULL,NULL,NULL,NULL,5,NULL
172,Delinquent Duo,Pay 1000 Life Points. Your opponent randomly selects and discards 1 card from his/her hand and then selects and discards another card from his/her hand.,MRL-039,NULL,NULL,NULL,NULL,5,NULL
