ID,Nome,Tipo,HP,Descrizione,Length,Weight,Level
77,Pokémon Trader,TRAINER,NULL,Trade 1 of the basic…,NULL,NULL,NULL
78,Scoop up,TRAINER,NULL,Choose 1 of your own…,NULL,NULL,NULL
79,Super energy removal,TRAINER,NULL,Discard 1 Energy card…,NULL,NULL,NULL
80,Defender,TRAINER,NULL,Attach defender to 1 of…,NULL,NULL,NULL
81,Energy retrival,TRAINER,NULL,Trade 1 of the other…,NULL,NULL,NULL
82,Full heal,TRAINER,NULL,You active Pokémon…,NULL,NULL,NULL
83,Maintenance,TRAINER,NULL,Shuffle 2 of the other…,NULL,NULL,NULL
84,PlusPower,TRAINER,NULL,Attach PlusPower to…,NULL,NULL,NULL
85,Pokémon center,TRAINER,NULL,Remove all damage…,NULL,NULL,NULL
86,Pokémon flute,TRAINER,NULL,Choose 1 Basic Pokémon…,NULL,NULL,NULL
87,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
88,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
89,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
90,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
91,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
92,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
93,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
94,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
95,NULL,TRAINER,NULL,NULL,NULL,NULL,NULL
96,Fairy,ENERGY,NULL,Double colorless energy,NULL,NULL,NULL
97,Fighting,ENERGY,NULL,NULL,NULL,NULL,NULL
98,Fire,ENERGY,NULL,NULL,NULL,NULL,NULL
99,Grass,ENERGY,NULL,NULL,NULL,NULL,NULL
100,Elecric,ENERGY,NULL,NULL,NULL,NULL,NULL
101,Psychic,ENERGY,NULL,NULL,NULL,NULL,NULL
102,Water,ENERGY,NULL,NULL,NULL,NULL,NULL
